participant_id,n_categories,session,category,mean_distance,mean_accuracy,mean_delta_accuracy,mean_distance_before,movement
2f49261da241afa0d9c848b46d3f4d22,Sequential Comparison,2,Any Category,20.840739684292355,0.5,0,17.52355283288822,-3.3171868514041343
503447d79af937496e9c132325522ee7,Sequential Comparison,2,Any Category,18.13688722183208,0.5,0,16.5778446337616,-1.5590425880704792
566ecd3728f3e43b275d04c50fa20877,Sequential Comparison,2,Any Category,21.641327416793434,0.5,0,20.811635930466043,-0.8296914863273912
8b8f0bf594953a3c0d0e5be94f7c2831,Sequential Comparison,2,Any Category,22.623018528549554,0.5,0,28.356676638637524,5.733658110087969
b733cfc680f97d9812d50d73895bec81,Sequential Comparison,2,Any Category,33.505078250320814,0.5,0,33.29977170241437,-0.20530654790644576
b9159cd99b2b103b02e2c6816bda5a26,Sequential Comparison,2,Any Category,16.596496033789343,0.5,0,18.548047933774768,1.951551899985425
dc21b7b15e50f7fd90b3171c6c661421,Category Learning,2,Any Category,20.179597659322305,0.8625,0.26250000000000007,19.768927773629336,-0.41066988569296825
ef1f80fc1e2fff621a6df71da886514a,Category Learning,2,Any Category,16.10037733384141,0.8625,0.20000000000000007,22.16410814718234,6.0637308133409284
03345a65340bec1c3e73809b4a54035b,Category Learning,2,Any Category,17.671085838444096,0.8375,0.375,20.937774989825503,3.2666891513814065
061a65897cd68a4a54e29ae0ceaf9ee9,Sequential Comparison,2,Any Category,22.041084904597625,0.5,0,23.231643201567195,1.19055829696957
1bdbec86a0a97db6dfef2ab8aefc7c38,Category Learning,2,Any Category,21.13008639423339,0.875,0.2875,22.403533549656455,1.2734471554230637
1e649ff8b7bbc5f1eeaf928d44353401,Category Learning,2,Any Category,16.991776117646545,0.8125,0.3875,18.912728702259436,1.9209525846128912
2624d8c67c4c956734f2f42b7ec3ed4f,Sequential Comparison,2,Any Category,18.896549893223884,0.5,0,19.280710721934412,0.38416082871052737
3ffbd8bebfe24d0d657eb73aecd49005,Sequential Comparison,2,Any Category,23.243393337304045,0.5,0,22.388464885643902,-0.8549284516601432
5e5cec123d375a7c34aba52f42de17ed,Sequential Comparison,2,Any Category,20.604899337357487,0.5,0,21.186297219007525,0.5813978816500374
9f610a3c89b00c77adc7e88a65833643,Category Learning,2,Any Category,20.942057327115588,0.7875,0.125,23.391051780698408,2.44899445358282
ad3273c84ed9acdcbcc9a5a2204a5450,Sequential Comparison,2,Any Category,22.24206725732005,0.5,0,19.576911654982357,-2.665155602337691
b6c790b7c107bc4019389b31daaefcfa,Sequential Comparison,2,Any Category,19.55593518633549,0.5,0,19.586287821840084,0.030352635504595327
bab26a6e6b1a44bd002de1a07f240cdf,Sequential Comparison,2,Any Category,30.121472185312875,0.5,0,25.24917302869069,-4.872299156622184
be7e79264329de0e3a1d8ae7779f7e49,Category Learning,2,Any Category,18.953204807666427,0.85,0.3625,18.759332621251737,-0.19387218641469062
c62a6b90a1e59e0b9cc737da49d806bd,Category Learning,2,Any Category,23.411536373011653,0.825,0.38749999999999996,33.32458977709563,9.913053404083978
cec8c1389700b62359171168b9f07f7d,Sequential Comparison,2,Any Category,21.096493696477385,0.5,0,24.311674623891317,3.2151809274139325
d780857ced3775852060b68281cba0d3,Sequential Comparison,2,Any Category,20.397945040008874,0.5,0,23.798180328954942,3.4002352889460674
ded45b6fdd477b3637fc3f231893f69f,Sequential Comparison,2,Any Category,22.298907956700397,0.5,0,21.86924694086075,-0.42966101583964544
0216a830e70da794d1f6837b32d790c4,Sequential Comparison,2,Any Category,16.95723919723663,0.5,0,27.796309775779527,10.839070578542898
05e719c40320f99a3f2468902586e78a,Sequential Comparison,2,Any Category,20.549992754763203,0.5,0,21.886930819101867,1.3369380643386641
06c089a3e9667806babcd850cf028734,Sequential Comparison,2,Any Category,20.21510403354023,0.5,0,29.71642908334292,9.501325049802691
08d398e670f7fd610fbbaa1a601c606f,Sequential Comparison,2,Any Category,20.89674452322552,0.5,0,29.945425454168124,9.048680930942602
0d94956bbdecff00ab7b0c197a2db2f9,Category Learning,2,Any Category,23.443448059483984,0.8,0.2250000000000001,23.238502664602777,-0.20494539488120722
0de5e826e8c1095e04907485ae2cd2bd,Sequential Comparison,2,Any Category,18.776977002853585,0.5,0,18.78624683395388,0.009269831100294113
14a90f5b6ddeed5816e91543a02ec000,Sequential Comparison,2,Any Category,18.00903646508075,0.5,0,19.088844432364642,1.079807967283891
35bf3c7dcad8865b5f890bfe635751e1,Category Learning,2,Any Category,22.919802423243556,0.9125,0.36249999999999993,20.539290631964104,-2.380511791279453
391d4296e02588afcc3b22efc1e20d52,Sequential Comparison,2,Any Category,18.160957166735656,0.5,0,19.51599144144391,1.3550342747082524
3eb55229e1bb74e1f6d01e87b166a517,Sequential Comparison,2,Any Category,21.647798439951035,0.5,0,24.977982020170483,3.3301835802194475
4e7c612d2900771710713fe673d006f2,Sequential Comparison,2,Any Category,17.494386511942203,0.5,0,18.65234803613505,1.1579615241928458
6c68ebc6bc8ac0b1654ea4d27f76a760,Sequential Comparison,2,Any Category,21.684821705033613,0.5,0,21.74175333132043,0.05693162628681847
7903d5946cfbb088dad0bdc08e7f3c5b,Sequential Comparison,2,Any Category,17.727178311284465,0.5,0,21.296008423613078,3.5688301123286124
79fb289c831836a48dcadefe9cce528c,Sequential Comparison,2,Any Category,18.5927925926168,0.5,0,29.779858197571034,11.187065604954235
9413641a6028fffdab092e8967725dfa,Category Learning,2,Any Category,22.243364906017728,0.8625,0.21250000000000002,22.1444105354409,-0.09895437057682699
