n_categories,session,trial_id,x1_true,x2_true,x1_response,x2_response,x1_start,x2_start,rt,Sex,participant_id,stim_id
4,1,57,19,19,16,22,16,16,3837,Male,ef1f80fc1e2fff621a6df71da886514a,12
4,1,58,46,28,75,56,60,66,3843,Male,ef1f80fc1e2fff621a6df71da886514a,43
4,1,59,55,64,66,75,83,56,3722,Male,ef1f80fc1e2fff621a6df71da886514a,57
4,1,60,10,91,30,94,51,39,8985,Male,ef1f80fc1e2fff621a6df71da886514a,10
4,1,61,37,37,30,38,85,31,4756,Male,ef1f80fc1e2fff621a6df71da886514a,34
4,1,62,64,10,34,23,40,34,3472,Male,ef1f80fc1e2fff621a6df71da886514a,61
4,1,63,64,28,46,31,3,100,4597,Male,ef1f80fc1e2fff621a6df71da886514a,63
4,1,64,55,10,48,24,23,84,4783,Male,ef1f80fc1e2fff621a6df71da886514a,51
4,1,65,64,82,68,83,68,32,3786,Male,ef1f80fc1e2fff621a6df71da886514a,69
4,1,66,37,19,65,26,78,35,3587,Male,ef1f80fc1e2fff621a6df71da886514a,32
4,1,67,46,46,44,30,51,14,5494,Male,ef1f80fc1e2fff621a6df71da886514a,45
4,1,68,46,82,68,70,11,93,14695,Male,ef1f80fc1e2fff621a6df71da886514a,49
4,1,69,19,82,22,73,54,48,4089,Male,ef1f80fc1e2fff621a6df71da886514a,19
4,1,70,82,73,72,48,6,3,4284,Male,ef1f80fc1e2fff621a6df71da886514a,88
4,1,71,10,28,72,45,99,14,4366,Male,ef1f80fc1e2fff621a6df71da886514a,3
4,1,72,73,64,77,54,87,38,3977,Male,ef1f80fc1e2fff621a6df71da886514a,77
4,1,73,64,91,56,52,55,39,3457,Male,ef1f80fc1e2fff621a6df71da886514a,70
4,1,74,55,46,63,49,30,50,4999,Male,ef1f80fc1e2fff621a6df71da886514a,55
4,1,75,19,46,31,55,71,100,18550,Male,ef1f80fc1e2fff621a6df71da886514a,15
4,1,76,19,10,24,14,1,6,5605,Male,ef1f80fc1e2fff621a6df71da886514a,11
4,1,77,73,73,72,78,1,64,5386,Male,ef1f80fc1e2fff621a6df71da886514a,78
4,1,78,55,91,50,81,30,39,4823,Male,ef1f80fc1e2fff621a6df71da886514a,60
4,1,79,55,73,72,74,72,75,2190,Male,ef1f80fc1e2fff621a6df71da886514a,58
4,1,80,46,73,58,80,65,75,3541,Male,ef1f80fc1e2fff621a6df71da886514a,48
4,1,81,91,46,69,48,92,53,4443,Male,ef1f80fc1e2fff621a6df71da886514a,95
4,1,82,46,64,51,69,46,90,6218,Male,ef1f80fc1e2fff621a6df71da886514a,47
4,1,83,10,55,20,59,3,85,5484,Male,ef1f80fc1e2fff621a6df71da886514a,6
4,1,84,73,91,76,80,99,33,4548,Male,ef1f80fc1e2fff621a6df71da886514a,80
4,1,85,73,37,76,44,60,76,4199,Male,ef1f80fc1e2fff621a6df71da886514a,74
4,1,86,82,64,77,47,61,23,3884,Male,ef1f80fc1e2fff621a6df71da886514a,87
4,1,87,55,55,57,33,63,91,3742,Male,ef1f80fc1e2fff621a6df71da886514a,56
4,1,88,46,10,31,10,3,80,4908,Male,ef1f80fc1e2fff621a6df71da886514a,41
4,1,89,91,73,98,89,98,25,4125,Male,ef1f80fc1e2fff621a6df71da886514a,98
4,1,90,46,19,39,27,39,28,3166,Male,ef1f80fc1e2fff621a6df71da886514a,42
4,1,91,37,46,39,30,85,45,4372,Male,ef1f80fc1e2fff621a6df71da886514a,35
4,1,92,46,55,38,47,38,16,3166,Male,ef1f80fc1e2fff621a6df71da886514a,46
4,1,93,73,28,44,32,86,66,4761,Male,ef1f80fc1e2fff621a6df71da886514a,73
4,1,94,28,64,23,84,23,94,3359,Male,ef1f80fc1e2fff621a6df71da886514a,27
4,1,95,55,37,39,42,64,8,3948,Male,ef1f80fc1e2fff621a6df71da886514a,54
4,1,96,28,19,28,28,28,43,3512,Male,ef1f80fc1e2fff621a6df71da886514a,22
4,1,97,19,91,24,90,45,5,5914,Male,ef1f80fc1e2fff621a6df71da886514a,20
4,1,98,28,10,25,17,100,38,4188,Male,ef1f80fc1e2fff621a6df71da886514a,21
4,1,99,19,55,37,43,55,36,3639,Male,ef1f80fc1e2fff621a6df71da886514a,16
4,2,0,55,19,65,55,19,85,5745,Male,ef1f80fc1e2fff621a6df71da886514a,52
4,2,1,10,55,26,52,58,15,3899,Male,ef1f80fc1e2fff621a6df71da886514a,6
4,2,2,82,64,81,74,57,15,4322,Male,ef1f80fc1e2fff621a6df71da886514a,87
4,2,3,82,82,80,74,48,79,3659,Male,ef1f80fc1e2fff621a6df71da886514a,89
4,2,4,82,37,69,30,12,17,3626,Male,ef1f80fc1e2fff621a6df71da886514a,84
4,2,5,64,10,75,32,39,83,4038,Male,ef1f80fc1e2fff621a6df71da886514a,61
4,2,6,37,82,26,68,3,75,4411,Male,ef1f80fc1e2fff621a6df71da886514a,39
4,2,7,91,82,78,79,78,50,4508,Male,ef1f80fc1e2fff621a6df71da886514a,99
4,2,8,46,37,19,27,61,50,3600,Male,ef1f80fc1e2fff621a6df71da886514a,44
4,2,9,64,55,75,35,33,92,4572,Male,ef1f80fc1e2fff621a6df71da886514a,66
4,2,10,55,46,40,44,10,8,3808,Male,ef1f80fc1e2fff621a6df71da886514a,55
4,2,11,91,19,77,23,37,46,3349,Male,ef1f80fc1e2fff621a6df71da886514a,92
