participant_id,n_categories,session,category,mean_distance,mean_accuracy,mean_delta_accuracy,mean_distance_before,movement
644e74082dea116345e87208e1669b38,Category Learning,2,Bukil,37.20777764846581,0.725,0.09999999999999998,42.142751717536015,4.934974069070208
644e74082dea116345e87208e1669b38,Category Learning,2,Venak,22.3972159279168,0.725,0.09999999999999998,25.53396568674915,3.136749758832348
6c4965b94b21b3df637ec2c327461032,Sequential Comparison,2,Bukil,39.942381257290926,0.5,0,41.228040469633925,1.285659212342999
6c4965b94b21b3df637ec2c327461032,Sequential Comparison,2,Venak,23.26738694840726,0.5,0,27.992137012329536,4.724750063922276
c9a8ce1f5cccf9534266c706b538c6ca,Sequential Comparison,2,Bukil,33.91248048094194,0.5,0,35.1314452427045,1.2189647617625639
c9a8ce1f5cccf9534266c706b538c6ca,Sequential Comparison,2,Venak,23.45013084312036,0.5,0,20.826244586676992,-2.6238862564433667
f5aa7b40a32f702b9764e802f001f57d,Sequential Comparison,2,Bukil,40.01436332530594,0.5,0,41.065249969134776,1.0508866438288322
f5aa7b40a32f702b9764e802f001f57d,Sequential Comparison,2,Venak,19.604845029286324,0.5,0,21.915225256831775,2.3103802275454512
0018518b0ef7762b6e7262300d5db569,Sequential Comparison,2,Bukil,33.860693879288185,0.5,0,33.576140853792744,-0.28455302549544115
0018518b0ef7762b6e7262300d5db569,Sequential Comparison,2,Venak,19.610847663143453,0.5,0,21.569727219686172,1.958879556542719
0171402c8dd505ea026aa441bd8fe815,Category Learning,2,Bukil,39.430964800099716,0.725,0.07499999999999996,36.55277498557403,-2.8781898145256832
0171402c8dd505ea026aa441bd8fe815,Category Learning,2,Venak,22.30194770630115,0.725,0.07499999999999996,24.810458387709893,2.508510681408744
0621d3afc21653bafab8bc8e4aeaca7b,Category Learning,2,Bukil,36.18415669009246,0.825,0.25,36.91332534623296,0.7291686561405015
0621d3afc21653bafab8bc8e4aeaca7b,Category Learning,2,Venak,23.800704780831683,0.825,0.25,25.194545684552963,1.39384090372128
0c5f1ebedee9be0daeb5a71ca6f00fa8,Sequential Comparison,2,Bukil,24.91515144100706,0.5,0,31.985710048926713,7.070558607919654
0c5f1ebedee9be0daeb5a71ca6f00fa8,Sequential Comparison,2,Venak,18.118820285097595,0.5,0,15.456281794743976,-2.6625384903536187
13cb7644990d9ce5270c2706ba44af6c,Category Learning,2,Bukil,37.82356133553346,0.75,0,37.13488311717781,-0.6886782183556548
13cb7644990d9ce5270c2706ba44af6c,Category Learning,2,Venak,17.407319304909777,0.75,0,20.45684663793356,3.049527333023782
15d4104ac4867bd2f3ce08fa7bbf52aa,Category Learning,2,Bukil,28.870493813876802,0.775,0.15000000000000002,26.23820661766821,-2.6322871962085905
15d4104ac4867bd2f3ce08fa7bbf52aa,Category Learning,2,Venak,17.550284592746586,0.775,0.15000000000000002,15.378759229397437,-2.171525363349149
1636862fde42c5effaa97e1e376ea9ee,Sequential Comparison,2,Bukil,32.81455969455029,0.5,0,38.30455297946875,5.489993284918462
1636862fde42c5effaa97e1e376ea9ee,Sequential Comparison,2,Venak,17.8329123956184,0.5,0,23.99282266676749,6.159910271149091
16dc03cf71c7fd565ae5bf0f2b81794a,Sequential Comparison,2,Bukil,33.63719808393096,0.5,0,35.82178128530416,2.1845832013732007
16dc03cf71c7fd565ae5bf0f2b81794a,Sequential Comparison,2,Venak,24.34440521547236,0.5,0,21.931230916398906,-2.4131742990734537
20d9c4007d1a18ca067b6f0b7d48ee82,Category Learning,2,Bukil,35.345169816379375,0.7,0.17499999999999993,33.15156499843194,-2.1936048179474383
20d9c4007d1a18ca067b6f0b7d48ee82,Category Learning,2,Venak,26.073145325298352,0.7,0.17499999999999993,25.68973716730371,-0.3834081579946407
21c65d7c67001ec1660e644395da6a90,Category Learning,2,Bukil,41.29397086096032,0.9,0.125,39.609222299002056,-1.6847485619582656
21c65d7c67001ec1660e644395da6a90,Category Learning,2,Venak,24.52351182573734,0.9,0.125,26.107674429223497,1.5841626034861562
